Participant,Time,Level,Congruency,RT,ACC
17,evening,global,congruent,381.1555556,0.957446809
17,evening,global,incongruent,395.2873563,0.935483871
17,evening,local,congruent,409.6555556,0.957446809
17,evening,local,incongruent,446.8068182,0.916666667
17,morning,global,congruent,373.03125,0.989690722
17,morning,global,incongruent,390.0111111,0.957446809
17,morning,local,congruent,384.9896907,0.989795918
17,morning,local,incongruent,421.3707865,0.917525773
18,evening,global,congruent,348.3191489,0.969072165
18,evening,global,incongruent,364.3488372,0.914893617
18,evening,local,congruent,380.1123596,0.978021978
18,evening,local,incongruent,411.0229885,0.90625
18,morning,global,congruent,333.5581395,0.924731183
18,morning,global,incongruent,348.816092,0.925531915
18,morning,local,congruent,389.8924731,0.978947368
18,morning,local,incongruent,457.6136364,0.897959184
19,evening,global,congruent,413.9468085,0.959183673
19,evening,global,incongruent,403.7439024,0.872340426
19,evening,local,congruent,464.3548387,0.948979592
19,evening,local,incongruent,497.3181818,0.897959184
19,morning,global,congruent,401.7173913,0.968421053
19,morning,global,incongruent,428.8023256,0.886597938
19,morning,local,congruent,447.5957447,0.959183673
19,morning,local,incongruent,462.1341463,0.845360825
21,evening,global,congruent,420.9782609,0.968421053
21,evening,global,incongruent,456.5730337,0.927083333
21,evening,local,congruent,431.6666667,0.875
21,evening,local,incongruent,442.5164835,0.947916667
21,morning,global,congruent,419.4270833,0.989690722
21,morning,global,incongruent,419.3404255,0.969072165
21,morning,local,congruent,417.1630435,0.958333333
21,morning,local,incongruent,424.3645833,0.96969697
22,evening,global,congruent,310.5116279,0.934782609
22,evening,global,incongruent,324.3493976,0.882978723
22,evening,local,congruent,319.2359551,0.946808511
22,evening,local,incongruent,323.3947368,0.817204301
22,morning,global,congruent,311.4782609,0.989247312
22,morning,global,incongruent,333.7619048,0.884210526
22,morning,local,congruent,315.6086957,0.978723404
22,morning,local,incongruent,332.5747126,0.935483871
23,evening,global,congruent,298.4096386,0.988095238
23,evening,global,incongruent,312.0121951,0.891304348
23,evening,local,congruent,314.1818182,0.974683544
23,evening,local,incongruent,316.9864865,0.770833333
23,morning,global,congruent,304.8765432,0.870967742
23,morning,global,incongruent,305.9295775,0.835294118
23,morning,local,congruent,324.7674419,0.955555556
23,morning,local,incongruent,350.1,0.869565217
24,evening,global,congruent,365.8842105,0.979381443
24,evening,global,incongruent,387.3815789,0.826086957
24,evening,local,congruent,383.5411765,0.885416667
24,evening,local,incongruent,413.3373494,0.855670103
24,morning,global,congruent,345.0543478,0.989247312
24,morning,global,incongruent,375.012987,0.802083333
24,morning,local,congruent,375.2222222,0.927835052
24,morning,local,incongruent,396.7160494,0.861702128
26,evening,global,congruent,367.5977011,0.925531915
26,evening,global,incongruent,410.6202532,0.81443299
26,evening,local,congruent,391.3516484,0.957894737
26,evening,local,incongruent,401.8372093,0.934782609
26,morning,global,congruent,386.3846154,0.947916667
26,morning,global,incongruent,398.5609756,0.863157895
26,morning,local,congruent,419.03125,0.96969697
26,morning,local,incongruent,424.0222222,0.9375
27,evening,global,congruent,353.2659574,0.989473684
27,evening,global,incongruent,367.7,0.927835052
27,evening,local,congruent,387.3846154,0.968085106
27,evening,local,incongruent,414.6666667,0.9375
27,morning,global,congruent,368.3894737,0.989583333
27,morning,global,incongruent,402.1764706,0.885416667
27,morning,local,congruent,352.8444444,0.927835052
27,morning,local,incongruent,374.6976744,0.924731183
28,evening,global,congruent,320.8266667,0.79787234
28,evening,global,incongruent,332.2337662,0.875
28,evening,local,congruent,342.9253731,0.72826087
28,evening,local,incongruent,347.1492537,0.72826087
28,morning,global,congruent,366.4090909,0.946236559
28,morning,global,incongruent,355.9230769,0.978494624
28,morning,local,congruent,370.2795699,0.96875
28,morning,local,incongruent,418.8181818,0.448979592
29,evening,global,congruent,317.712766,0.979166667
29,evening,global,incongruent,346.8125,0.833333333
29,evening,local,congruent,342.625,1
29,evening,local,incongruent,362.4431818,0.926315789
29,morning,global,congruent,340.3295455,0.946236559
29,morning,global,incongruent,366.2352941,0.894736842
29,morning,local,congruent,351.7977528,0.967391304
29,morning,local,incongruent,356.8554217,0.864583333
