Participant,Time,nback,P3,N2
19,morning,0back,9.28102275,-1.582258
19,morning,1back,11.35684825,-0.95638675
19,morning,2back,1.83225675,-3.6795315
19,morning,3back,6.8142885,1.703343
21,evening,0back,16.83397025,-2.98276
21,evening,1back,15.69006375,5.29615425
21,evening,2back,19.69150525,14.20819325
21,evening,3back,11.28036975,3.49687
21,morning,0back,20.57773925,-0.5374695
21,morning,1back,13.30993375,1.23669025
21,morning,2back,10.6866325,3.571129
21,morning,3back,10.56179825,5.59281175
22,morning,0back,9.4106595,-4.79181825
22,morning,1back,8.392023,-6.5752655
22,morning,2back,3.37754025,-1.20682175
22,morning,3back,0.19904475,-0.89696325
22,evening,0back,11.6119015,-7.8013525
22,evening,1back,9.3183815,-3.41664575
22,evening,2back,2.65590025,-0.56936425
22,evening,3back,2.4368135,-0.73692125
23,evening,0back,8.7574045,4.0869335
23,evening,1back,17.63797825,13.5756745
23,evening,2back,16.1324385,6.176355
23,evening,3back,7.274822,5.776958
23,morning,0back,14.46692425,1.61234475
23,morning,1back,14.17853225,5.731728
23,morning,2back,2.339786,4.69198875
23,morning,3back,2.352133,4.002835
24,evening,0back,8.62301575,-0.95303575
24,evening,1back,8.5391135,2.67374675
24,evening,2back,5.61049425,3.4810525
24,evening,3back,NA,NA
24,morning,0back,10.41871875,-0.0801605
24,morning,1back,12.82267025,-0.7907505
24,morning,2back,9.17764525,0.35416625
24,morning,3back,5.24821275,-2.3995045
26,evening,0back,13.0656015,2.19119675
26,evening,1back,12.37052425,1.442177
26,evening,2back,7.734813,7.348314
26,evening,3back,8.55255975,5.1901645
26,morning,0back,12.58990925,1.03134
26,morning,1back,10.0633965,0.2233745
26,morning,2back,11.8291995,4.6596355
26,morning,3back,5.25058575,4.4228145
27,morning,0back,12.4474135,-5.64692225
27,morning,1back,11.70433025,-1.75092925
27,morning,2back,5.73651825,-6.005988
27,morning,3back,8.0262605,-0.5845675
27,evening,0back,9.2386415,-5.4537025
27,evening,1back,4.96847,-11.7153645
27,evening,2back,1.73791775,-6.6550185
27,evening,3back,7.58741625,-4.04679125
28,evening,0back,13.764574,9.95591525
28,evening,1back,16.93794325,12.687802
28,evening,2back,13.24194175,9.67244675
28,evening,3back,13.94143,9.10880075
28,morning,0back,14.0668295,3.33140925
28,morning,1back,16.11356625,4.44351225
28,morning,2back,10.655947,8.4296065
28,morning,3back,11.67348225,13.0811235
29,morning,0back,5.87909425,-2.87022075
29,morning,1back,5.76576475,0.774639
29,morning,2back,3.053623,2.0996175
29,morning,3back,4.45272925,2.34582225
29,evening,0back,11.09044775,4.194188
29,evening,1back,9.01819275,4.213156
29,evening,2back,7.99533025,4.7276355
29,evening,3back,4.40105,2.26630275
